Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
28-Jul-2011,10902.6,10954.25,10799.85,10828.5,24194111,1797.22
29-Jul-2011,10820.65,10968.8,10758.4,10893.65,18571972,1581.32
01-Aug-2011,11014.15,11064.9,10882.05,10939.0,11375547,945.6
02-Aug-2011,10902.55,10902.55,10720.3,10743.3,14547952,1098.76
03-Aug-2011,10647.9,10686.4,10545.15,10639.55,13896656,1214.35
04-Aug-2011,10682.45,10765.95,10515.05,10537.05,12168774,1031.19
05-Aug-2011,10306.1,10392.25,10150.3,10354.5,21688986,1746.47
08-Aug-2011,10121.4,10481.5,10072.45,10232.3,19277083,1400.6
09-Aug-2011,9952.2,10424.25,9920.8,10196.55,24685637,2105.25
10-Aug-2011,10516.45,10516.45,10393.7,10463.2,15010608,1251.31
11-Aug-2011,10419.4,10516.9,10323.5,10338.8,14434228,1218.97
12-Aug-2011,10469.15,10469.15,10131.65,10182.7,17187214,1511.04
16-Aug-2011,10315.1,10315.1,10023.0,10056.4,15204055,1412.7
17-Aug-2011,10050.0,10173.1,9869.75,9953.2,19175925,1593.21
18-Aug-2011,9987.6,10002.3,9564.95,9601.5,26093733,1991.42
19-Aug-2011,9452.7,9587.7,9280.25,9404.85,26512221,2116.27
22-Aug-2011,9422.65,9466.1,9224.95,9407.35,19165439,1373.42
23-Aug-2011,9474.05,9523.0,9303.35,9488.7,19424208,1414.1
24-Aug-2011,9453.05,9561.9,9275.15,9331.85,17183480,1492.22
25-Aug-2011,9393.35,9401.15,9134.95,9177.25,28813868,2165.68
26-Aug-2011,9186.4,9217.7,8917.95,8974.55,16930301,1410.14
29-Aug-2011,9099.85,9378.1,9099.85,9342.45,15070572,1211.7
30-Aug-2011,9466.3,9565.3,9355.15,9533.4,17148367,1454.58
02-Sep-2011,9707.45,9707.45,9490.0,9581.35,21611861,1804.14
05-Sep-2011,9509.0,9630.05,9448.75,9614.05,16549440,1440.8
06-Sep-2011,9556.95,9695.45,9364.6,9657.6,23324630,1870.58
07-Sep-2011,9698.4,9906.8,9683.95,9858.9,18045978,1444.74
